State,Check,Notes,Final Grade,Grade (anything in parentheses is more generous grading),Reasoning,How to improve (rough thoughts),Questions,,Standards related to data science,Standards/curriculum cont.,"NGSS- Have data analysis, interpretation, modeling; though very narrowly focused on science concepts, not clear how advanced/applicable it will be ",CTE if it has relevant material (if nothing then no state-wide list),Separate class/curriculum or incorporated into other classes,Taking Initiative/state level focus? (has it been in the news recently/are there dedicated programs),Levels of instruction,"Grad Requirements (flexibility) in math, data science (note individual districts may have more specifics)",Grad Requirement cont.,Availability/Access,Public university entry requirements  math- most specify they want you to take challenging courswork,Other notes,,Other
Tennessee,Probably D- since they do have something related to data.,Changed,D-,D-,"CC standards, though a bit more detailed",State-level plan; add more data science into math standards; other classes,,,"Thorough stats standards that covers data plots, variables, distributions, experiments, drawing conclusions, etc","The AP comp sci courses cover a bit of dealing with data sets, the CTE courses don't cover data science",Standards based off NGSS framework,"Most coding courses in high school are part of CTE; bit of data analysis in marketing, other CTE programs",In math,"Little initiative, recent education efforst weren't successful",middle and high school for math,"4 credits required, including Alg I, Geo, Alg II, and a ""higher level math course""","CTE counts for elective credit, AP comp sci can sub for fourth year math course",comp sci not as common,"Depends on campus, but 2-4 units advanced math",,,
Texas,,,D+,D+,"Standards have bit of data science, some more in optional math classes",State-level plan; transition some data science concepts into required classes; more use of technology,,,"Main math courses contain a little bit of stats, elective Quantitative Reasoning includes stats and alg reasoning, Statistics is also an option",Comp sci classes seem fairly coding heavy,No,"Data analysis section in business management courses, marketing",In math,Little initiative,high school,"3 credits required in math, including Alg I, Geo, and another advanced course that can include mathematical modeling and other applied math courses ","Language requirement is two credits, which can be done through comp sci (reg or AP); is language/comp sci tradeoff good?","comp sci not very widespread, math standards statewide","3 required, 4 recommended, all Alg I or higher and including Alg II",,,
Utah,"ZD: From Lindsey Henderson (UT): We are creating a third year High School Mathematics course for Data Science / Quantitative Reasoning, and partnering with Dana Center, CBMS, Conrad Wolfram, and Jo Boaler. They will first define goals and standards for the course, begin teacher training for a pilot, and launch a pilot in about 20 high schools in 2022-2023 school year (next year). The primary objective will be to gather data and get prepared for a major Math Core Standards revision scheduled for 2023.",Resources for data science?,B-,B-,Decent stats standards; small bit of data analysis in comp sci,State-level plan; expand and elaborate on standards in math and comp sci,,,"Basic stats instruction, especially relating to small data sets and plots/trend lines","Somewhat vague standards, core and additional for high school, covering data vizualization and representation",Standards based off NGSS framework,not clear,"A bit in math, comp sci",Has multiple options for comp sci,high school,"Requires Secondary Maths I, II, III, can replace Secondary III with approved course from list which include programming","Requires 1 credit CTE, 0.5 credits digital studies, and 2 credits of science. Comp sci can count for CTE or science.",Comp sci fairly widespread,2 years beyond elementary algebra (essentialy usual sequence),,,
Vermont,,,F,F,Usual cc standards,"State-level plan; add standards related to data science into math, other classes",,,"Uses common core for math, section in high school on interpreting data, not very detailed/practical",No comp sci standards for the state,Adopted,decentralized,"In math, potentially in comp sci depending on district level",No,high school,"Appears to be 3 units of math, though I could not find this info on the state website itself","Lists ""graduation proficiences"" it wants students to meet","comp sci has decently widespread, but few students taking AP","3 years including Alg I, Alg II, Geo",,,
Virginia,Maybe A-. This is the best state we know.,Keeping B+ after discussion,A-,A-,"Math initiative to modernize curriculum includes mandatory data analysis standards for 1st two years of high school, then options for data science courses; however, standards still being written",Write clear standards and implement them to guarentee A; also ensure data science reaches into middle school,Talked to these people? What's the general opinion?,,"Has initiative to make high school math pathway more flexible; currently developing the curricula but wants to include data analysis, modeling, and more in form of modules--looks really good",Current standards have stats in math and data analysis in comp sci,No,"In marketing, business",Going to become separate classes and modules,Lot of initiative to make math curriculum better,High school,"3 required math classes from approved list (including data analysis), comp sci can count as one of them",,"Comp sci widespread now, has funding; math changes coming 2023",doesn't list,,,May end up having fights over math program and accelerated courses
Washington,"Check with Anne Gallagher. I know WA is trying to introduce state standards/pathways as well. Also, there is a ton of on-the-ground activities happening there. +1 ZD",,D-,D-,Usual cc standards; essentialy CSTA comp sci standards,"State-level plan; add on and expand standards in math, comp sci, other classes; make mandatory",,,"Uses common core for math, section in high school on interpreting data, not very detailed/practical",Comp sci standards cover data science but are very vague,Adopted,CTE has little relevant material,"In math, comp sci","Has funding for comp sci, not much else",high school,"3 credits of math required, 1 credit of CTE",,"Cs required in high schools, not terribly popular",3 years math,,,
West Virginia,,,C-,C-,"Usual cc standards with a bit more emphasis on technology use; optional Advanced Modeling class contains stats, working with data; vague mention of using data in comp sci","State-level plan; more on data analysis in math, comp sci, other classes",How much credit does optional course give you?,,Good stats (w/ practical applications) instruction in Alg II; the Advanced Modeling option for fourth year math covers statistical analysis and modeling data w/ technology,Vague mention of data representation in comp sci standards,Standards based off NGSS framework,,"In math, bit in comp sci",Some focus on comp sci,"high school, bit of stats in middle school","Requires Maths I-IV, can sub relevant AP courses; CTE required in some cases if not meeting college standards",,"Standards statewide, comp sci decently widespread","3 years including Alg I, Alg II or higher",,,
Wisconsin,lauras@mketech.org in case we have questions,,D,D,CC standards; good standards on data analysis for comp sci,State-level plan; more on data science in math; could make comp sci mandatory,,,"Basic stats section in required math standards, little more detail if the additional standards are taken",Some data analysis (though heavy computer focus) in comp sci standards,Standards based off NGSS framework,,"In math, bit in comp sci",not much focus,"high school, some in middle school","3 math credits required, comp sci can be used as one of the credits",,"standards staewide, comp sci not really widespread","4 years, including Alg, Geo, and advanced alg",,,
Wyoming,,,D+,D+,"Standards seem to cover more data analysis than cc, esp in middle school (seems built off cc standards); decent data analysis in comp sci","State-level plan; could still add in some more standards; more focus on data interpretation, making comp sci more widespread",,,"Fairly detailed stats section in math standards, gives detailed examples of stats problems but nothing with larger data sets","Comp sci standards cover modeling and data analysis, specific but not very detailed",Standards based off NGSS framework,,"In math, comp sci",Comp sci standards are new,"high school, bit in middle school",3 years of math required; 3 years of science,One year of science can be comp sci,"Comp sci required in high schools, but not always taken","4 years, including Alg I, Geo, and Alg II",,,
D.C,"Let's check with Gabe. D.C. is weird because of its very decentralized school districts. DC Unified School District is super up to date with data science. I think there is basicaly no ""state presence"" in DC at all though. ZD: +1, grade seems low",,D-,D-,CC standards; bit of data analysis in comp sci,"State-level plan; add more standards into math, comp sci, other classes",,,"Uses common core for math, section in high school on interpreting data, not very detailed/practical","Comp sci standards (recommended, not city-made) used have data analysis section, but vague",Standards based off NGSS framework,Some data analysis in the business part of CTE,"In math, comp sci","Doesn't seem to be much focus on comp sci or math, but also much smaller scale (have fairly rigorous standards but do care a lot about education, require a lot of community service)",high school,"4 years of math, including Alg I, Geo, Alg II",,comp sci not widespread,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"50-State Report Logistics:
- How did you quantify whether or not a course is “widely taken?

High level questions:
- Styling of the report. 
- One of the key question is who are we evaluating. Take Alabama vs. California. There is a lot of momentum in CA from on-the-ground entities, but the state hasn’t done a lot, precisely because it doesn’t need to. Alabama, on the other hand, has great state mandates, but on the ground situation might be much worse, since public universities still requiring the Geometry sandwich to be taught. 
- Should we count standards in com sci as evidence? Or should we focus on math curriculum?",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Can track whether states fund PD for comp sci; is that useful? Prob won't affect data science much,,,,,,,,,,,,,,,,,,,,,
